Product Name,Category,Quantity,Buying Price,Selling Price,Batch Number,Expiry Date (YYYY-MM-DD)
Bandages 250mg - 76,Painkillers,382,133,167,BATCH-202511-4941,2027-12-18
Metformin 250mg - 88,Cardiovascular,414,2233,2964,BATCH-202511-1101,2027-07-19
Amoxicillin 1000mg - 94,Vitamins,137,757,910,BATCH-202511-4733,2028-06-11
Diclofenac 250mg - 29,Cardiovascular,230,1868,2337,BATCH-202511-6373,2028-10-29
Paracetamol 250mg - 70,Cardiovascular,286,3212,4741,BATCH-202511-6530,2027-09-02
Loratadine 1000mg - 47,Supplements,278,1867,2662,BATCH-202511-4126,2028-10-14
Ciprofloxacin 1000mg - 96,Supplements,253,2453,3188,BATCH-202511-4924,2028-08-29
Paracetamol 250mg - 41,Vitamins,240,2520,3758,BATCH-202511-3070,2028-06-05
Azithromycin 250mg - 22,Vitamins,450,1287,1914,BATCH-202511-4192,2028-05-06
Aspirin 500mg - 17,Cardiovascular,72,2301,3443,BATCH-202511-7602,2026-12-20
Ciprofloxacin 250mg - 98,Antibiotics,408,1592,2362,BATCH-202511-8453,2027-01-11
Omeprazole 1000mg - 91,Dermatology,360,3481,4635,BATCH-202511-5256,2027-05-04
Doxycycline 250mg - 2,Cardiovascular,445,4868,7176,BATCH-202511-4006,2027-10-10
Doxycycline 250mg - 29,First Aid,229,4206,6027,BATCH-202511-8445,2028-03-15
Vitamin C 500mg - 6,Supplements,344,537,654,BATCH-202511-6346,2028-01-06
Ibuprofen 1000mg - 40,Vitamins,143,990,1311,BATCH-202511-4730,2028-03-15
Diclofenac 1000mg - 7,Painkillers,255,1577,2094,BATCH-202511-3324,2027-06-25
Diclofenac 500mg - 79,Antibiotics,479,1505,2085,BATCH-202511-1777,2028-05-14
Aspirin 250mg - 20,Vitamins,496,3750,5105,BATCH-202511-8525,2027-12-25
Omeprazole 1000mg - 23,Dermatology,438,4942,6914,BATCH-202511-6857,2026-12-25
Vitamin C 500mg - 10,Dermatology,197,1077,1336,BATCH-202511-1929,2027-08-17
Omeprazole 500mg - 99,Vitamins,186,908,1269,BATCH-202511-6649,2027-05-02
Azithromycin 500mg - 43,Vitamins,332,2786,4019,BATCH-202511-1290,2027-03-06
Ciprofloxacin 250mg - 94,Dermatology,196,2064,2597,BATCH-202511-5366,2027-06-18
Vitamin C 250mg - 29,Painkillers,164,3942,5840,BATCH-202511-4334,2028-09-18
